
# === SESSION ===
key,value
timestamp,2026-07-02T00:49:50.023Z
version,2.7.189
round,12
day,0
globalDay,11
totalRounds,12
simMode,competitive
scenarioPreset,standard
powerGrid,independent
commsGrid,independent
daysPerRound,7

# === CONFIG_CONSTANTS ===
key,value,unit
score_pts_per_kg_ice,1,pts/kg
score_pts_per_asset_pt,15,pts/ap
score_penalty_per_violation,25,pts
score_carry_fraction,0.5,fraction
days_per_round,7,days
px_per_km,2,px/km
km_per_px,0.5,km/px
comsat_relay_radius_km,30.00,km
zone_core_km,1,km
zone_harmonization_km,5,km
zone_coordination_km,10,km
zone_display_scale,3,x
zone_core_render_km,3.00,km
zone_harmonization_render_km,15.00,km
zone_coordination_render_km,30.00,km
zone_tier_mult.core,1,xcore
zone_tier_mult.harmonization,5,xcore
zone_tier_mult.coordination,10,xcore
functional_reach.solar,2.89,km
functional_reach.habitat,14.43,km
functional_reach.pad,7.22,km
functional_reach.rover,1.44,km
functional_reach.reactor,5.78,km

# === INITIAL_CONDITIONS ===
key,value
map_width_px,1212
map_height_px,1212
km_per_px,0.5
px_per_km,2
totalRounds,12
scenarioPreset,standard
claimRadius_actorI_px,92.77777777777777
claimRadius_actorII_px,80
actorI_base_px,"553,703"
actorII_base_px,"1005,170"
actorIII_base_px,
actorI_stakeholder,Concordium
actorII_stakeholder,LRC

# === CRATERS ===
crater_idx,name,cx_px,cy_px,cx_km,cy_km,quality,size_px
ACTOR_I,rover,6,271.50,347.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,rover,7,355.50,326.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_I,rover,8,253.00,302.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,solar,0,318.00,255.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,solar,1,370.50,307.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,solar,2,295.00,311.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,solar,3,380.50,220.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,solar,4,392.00,246.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,reactor,0,336.50,251.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,reactor,1,304.50,234.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,habitat,0,339.50,251.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,habitat,1,317.50,256.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,habitat,2,295.00,310.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,habitat,3,370.00,306.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,habitat,4,304.50,234.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,habitat,5,381.50,219.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,habitat,6,392.50,246.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,habitat,7,370.50,231.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,pad,0,315.00,250.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,pad,1,324.50,243.50,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
ACTOR_II,rover,0,449.00,139.00,1.00/1.00/1.00,3.00,15.00,30.00,3.00,15.00,30.00
