battery_id,run_id,seed,scenario,total_rounds,mission_end,arrival_delay,grid_sharing,grid_permanent,winner,score1,score2,score_gap,ice1_kg,ice2_kg,ap1,ap2,vio1,vio2,dep_blocked1,dep_blocked2,strand_risk1,strand_risk2,stranded1,stranded2,unpow_hab1,unpow_hab2,offers,joins,decouples,shared_days,contested_days,craters_depleted,duration_days,extracted_kg,extracted_pct,rovers1,rovers2,habitats1,habitats2,reactors1,reactors2,governance,strand_pen_days1,strand_pen_days2,rescues1,rescues2,strand_night,strand_far,strand_other,reserve1_kg,reserve2_kg
baseline,baseline_32,1592917702,standard,12,fixed,5,1,0,2,2020.2,2025.0,-4.8,115.2,150.0,127,127,0,0,0,0,1,4,0,0,0,10,0,0,0,0,0,0,84,265.2,0.81,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_33,1592927675,standard,12,fixed,5,1,0,2,-506.1,1731.7,-2237.8,118.9,146.7,61,171,66,48,0,0,0,0,0,0,0,0,5,5,4,61,0,0,84,585.6,1.79,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_34,1592937648,standard,12,fixed,5,1,0,1,1935.0,650.3,1284.7,0.0,145.3,127,33,0,2,0,0,0,16,0,0,0,0,1,1,0,69,0,0,84,225.3,0.69,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_35,1592947621,standard,12,fixed,5,1,0,2,1582.0,2180.2,-598.2,380.0,115.2,104,125,27,0,2,0,0,1,0,0,21,0,19,19,19,19,0,0,84,495.2,1.51,3,2,6,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_36,1592957594,standard,12,fixed,5,1,0,1,2940.8,2058.3,882.5,305.8,113.3,201,125,24,0,0,0,0,0,0,0,0,0,7,7,7,13,0,0,84,579.1,1.77,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_37,1592967567,standard,12,fixed,5,1,0,1,709.4,68.0,641.4,533.4,460.0,105,79,65,72,0,8,3,1,0,1,3,11,14,13,13,48,0,0,84,1143.4,3.49,3,3,1,2,0,0,,0,2,0,0,1,0,0,0.0,0.0
baseline,baseline_38,1592977540,standard,12,fixed,5,1,0,1,2041.8,2023.0,18.8,136.8,118.0,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,254.8,0.78,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_39,1592987513,standard,12,fixed,5,1,0,1,-500.0,-1884.9,1384.9,380.0,309.1,43,47,67,120,0,0,0,0,0,0,10,3,5,5,4,64,0,0,84,929.1,2.84,3,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_40,1592997486,standard,12,fixed,5,1,0,2,2195.0,2791.5,-596.5,150.0,221.5,127,171,0,18,0,0,2,0,0,0,10,0,17,17,17,36,0,0,84,601.5,1.84,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_41,1593007459,standard,12,fixed,5,1,0,2,2187.8,2746.2,-558.4,112.8,226.2,127,171,0,16,0,0,0,0,0,0,0,0,15,14,14,41,0,0,84,489.1,1.49,2,3,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_42,1593017432,standard,12,fixed,5,1,0,1,2053.6,2039.0,14.6,148.6,134.0,127,127,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,84,282.6,0.86,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
baseline,baseline_43,1593027405,standard,12,fixed,5,1,0,2,2053.6,2054.5,-0.9,148.6,149.5,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,298.1,0.91,2,2,1,1,0,0,,0,0,0,0,0,0,0,0.0,0.0
